"","ID","Response","Con","TarRT"
"1",10,"Loc","Near",0.620075433776902
"2",10,"Loc","Near",0.221971883824047
"3",1,"Loc","Near",0.2270377421024
"4",9,"Loc","Near",0.5270685708969
"5",25,"Loc","Near",0.227245491719913
"6",18,"Loc","Near",0.229278504658
"7",4,"Loc","Near",0.432004799449
"8",9,"Loc","Near",0.232374717873
"9",8,"Loc","Near",0.23321600748
"10",18,"Loc","Near",0.233565071253
"11",10,"Loc","Near",0.237314274855179
"12",10,"Loc","Near",0.239244502332941
"13",10,"Loc","Near",0.240165216197716
"14",18,"Loc","Near",0.243470824397
"15",18,"Loc","Near",0.546216849216
"16",14,"Loc","Near",0.2472342
"17",18,"Loc","Near",0.248169261606
"18",4,"Loc","Near",0.2481777756
"19",10,"Loc","Near",0.548420985114536
"20",9,"Loc","Near",0.249723625935
"21",3,"Loc","Near",0.249824937333
"22",19,"Loc","Near",0.24988560989
"23",23,"Loc","Near",0.252482114776278
"24",18,"Loc","Near",0.452968348869
"25",10,"Loc","Near",0.253628102159133
"26",10,"Loc","Near",0.253671537453026
"27",10,"Loc","Near",0.453736089871231
"28",18,"Loc","Near",0.2552311
"29",11,"Loc","Near",0.255526979181
"30",10,"Loc","Near",0.555779275260076
"31",10,"Loc","Near",0.256318007437362
"32",10,"Loc","Near",0.256977554128247
"33",10,"Loc","Near",0.258010612128838
"34",10,"Loc","Near",0.258475433212892
"35",17,"Loc","Near",0.260644239804
"36",18,"Loc","Near",0.263053219378
"37",22,"Loc","Near",0.264192952663388
"38",9,"Loc","Near",0.26434736487
"39",4,"Loc","Near",0.564512388808
"40",8,"Loc","Near",0.264840683057
"41",18,"Loc","Near",0.265335062042
"42",18,"Loc","Near",0.265347312213
"43",8,"Loc","Near",0.265546558477
"44",3,"Loc","Near",0.265790321443
"45",4,"Loc","Near",0.265832038504
"46",3,"Loc","Near",0.265844288752
"47",8,"Loc","Near",0.265947503661
"48",17,"Loc","Near",0.265962800535
"49",9,"Loc","Near",0.266012396523
"50",8,"Loc","Near",0.266023984534
"51",12,"Loc","Near",0.266136289443
"52",8,"Loc","Near",0.266211379228
"53",16,"Loc","Near",0.26634543
"54",8,"Loc","Near",0.266355732738
"55",18,"Loc","Near",0.266440557204
"56",18,"Loc","Near",0.26648558486
"57",18,"Loc","Near",0.266660067025
"58",18,"Loc","Near",0.267243771119
"59",10,"Loc","Near",0.267657406643993
"60",10,"Loc","Near",0.267773444843329
"61",10,"Loc","Near",0.268468594027244
"62",1,"Loc","Near",0.268867272916
"63",7,"Loc","Near",0.269513701571
"64",8,"Loc","Near",0.270023834883
"65",10,"Loc","Near",0.27058653003118
"66",10,"Loc","Near",0.270898082678043
"67",1,"Loc","Near",0.270932916616
"68",10,"Loc","Near",0.271876324993229
"69",10,"Loc","Near",0.272346999855498
"70",10,"Loc","Near",0.273035827314612
"71",10,"Loc","Near",0.273113209907573
"72",22,"Loc","Near",0.273890375797655
"73",10,"Loc","Near",0.274359343518182
"74",23,"Loc","Near",0.274569025125569
"75",10,"Loc","Near",0.275089440381117
